#Power spectrum of the phase delay and dispersion# f [Hz]         P(f) [m^1/2]        D(f) [m^1/2]
0.000000000000000000e+00 2.041282088773892052e-07 7.466959457875193933e-04
1.659682169288116335e-02 6.134766908318891052e-10 3.817522043149660664e-07
3.319364338576232670e-02 5.041998655260927575e-09 2.849667805849489983e-07
4.979046507864348659e-02 2.513940965337767378e-10 1.119147367581581918e-06
6.638728677152465341e-02 1.383654687848726524e-08 4.593499062033805221e-07
8.298410846440582023e-02 5.747755509543634005e-11 9.085292863004769977e-08
9.958093015728697317e-02 2.987467488812014795e-09 9.992397895572130492e-08
1.161777518501681400e-01 1.843163824661965417e-08 1.285347566223491672e-07
1.327745735430493068e-01 2.361469886525649687e-08 1.178689228606402170e-07
1.493713952359304598e-01 1.277567362904178181e-08 1.297931230692884853e-07
1.659682169288116405e-01 1.978193935355264998e-09 2.270076913433616145e-08
1.825650386216927934e-01 2.412795216733147249e-10 2.179187722026330591e-08
1.991618603145739463e-01 9.100946004924574341e-09 1.274446953877653531e-08
2.157586820074551270e-01 5.314527546186535140e-09 2.017143531592559970e-08
2.323555037003362800e-01 3.498122001199818995e-09 3.888027314132581183e-08
2.489523253932174607e-01 1.069814490052451930e-09 1.023532902947691629e-08
2.655491470860986136e-01 8.362746531814432198e-10 5.373520284763878355e-08
2.821459687789797943e-01 1.190922037372411461e-10 2.007909310507665448e-08
2.987427904718609195e-01 5.741504602930322364e-09 3.643659585299567927e-08
3.153396121647421002e-01 3.011225210052430756e-10 1.604696517916144451e-08
3.319364338576232809e-01 8.951361464951812805e-09 4.385716239395262719e-08
3.485332555505044061e-01 7.638091608286623961e-09 6.790357583849360341e-09
3.651300772433855868e-01 1.081805735569160537e-08 1.000385418830719121e-08
3.817268989362667675e-01 2.246560043913286754e-09 8.998714328035410781e-09
3.983237206291478927e-01 1.102216111859579835e-10 5.008547556835168022e-09
4.149205423220290734e-01 2.147782373225787059e-08 3.644815389642656499e-10
4.315173640149102541e-01 8.790999251829690127e-09 1.038795412649638044e-08
4.481141857077914348e-01 2.347188358462171744e-09 6.302117893866374178e-09
4.647110074006725600e-01 7.127348227082709730e-09 8.223295350201612755e-10
4.813078290935537407e-01 4.134610174308360901e-09 1.428527024314493672e-10
4.979046507864349214e-01 4.502935182630405601e-09 8.387792592099443747e-10
5.145014724793161021e-01 1.366062443461217588e-09 4.601768131320766383e-09
5.310982941721972272e-01 2.183860557788100386e-09 6.480505685170558955e-09
5.476951158650783524e-01 1.732333420423348647e-09 1.064371055475262785e-08
5.642919375579595886e-01 2.960752155469207678e-10 4.052504274954264702e-09
5.808887592508407138e-01 4.666035975937087798e-09 5.360733547778842470e-09
5.974855809437218390e-01 1.785589395487383220e-09 9.997583659050732381e-10
6.140824026366030752e-01 2.162654447852622528e-09 4.645067779675391997e-09
6.306792243294842004e-01 7.096646724053265406e-09 7.752941247647993503e-10
6.472760460223653256e-01 2.586425438095842312e-09 3.450538263160528764e-10
6.638728677152465618e-01 5.818966063012939664e-09 3.815211005662580698e-09
6.804696894081276870e-01 1.243925417686281872e-09 1.375150080604100648e-09
6.970665111010088122e-01 7.650030806485759966e-09 9.020587956823111922e-10
7.136633327938900484e-01 1.873083579739794758e-09 1.339830415257332169e-09
7.302601544867711736e-01 6.629777195246206843e-09 4.037643984778698163e-09
7.468569761796522988e-01 1.253015769694547074e-09 4.582866105929942743e-09
7.634537978725335350e-01 2.113894986352553836e-09 1.816174134595838374e-10
7.800506195654146602e-01 2.137351243677374525e-09 9.599622466723809764e-10
7.966474412582957854e-01 8.175297961218294868e-09 3.903884491635469568e-10
8.132442629511770216e-01 1.714504687544766673e-09 5.596466894333366803e-10
8.298410846440581468e-01 4.182797345210360438e-09 2.753727903543779485e-10
8.464379063369393830e-01 3.903551449130608232e-09 1.226843853680481825e-11
8.630347280298205082e-01 9.575168083549444272e-10 2.117898818425958026e-09
8.796315497227016333e-01 1.575969082409348124e-09 2.944507284105716740e-10
8.962283714155828696e-01 2.387771715789282821e-10 7.643152026097413118e-10
9.128251931084639947e-01 7.720307180243158881e-10 2.450087330921857391e-10
9.294220148013451199e-01 8.573669297856685709e-09 6.925349838155150647e-10
9.460188364942263561e-01 1.279241390424006752e-08 5.022739861648024364e-09
9.626156581871074813e-01 7.206987489894735822e-10 4.199963215348927108e-09
9.792124798799886065e-01 1.725725905861930732e-09 1.806707967701171310e-09
9.958093015728698427e-01 2.329915890840882288e-09 4.822004401484100005e-09
1.012406123265750857e+00 2.508033442029819429e-09 7.020757455754461713e-11
1.029002944958632204e+00 3.188586240053649537e-09 5.705761920833620859e-09
1.045599766651513329e+00 1.346668357623006242e-10 9.797844235123539936e-10
1.062196588344394454e+00 3.886326201698254518e-09 8.694244918562068878e-09
1.078793410037275580e+00 2.161315241077902396e-09 8.765263099417429867e-10
1.095390231730156705e+00 6.121429705770138500e-09 3.168339257521869303e-09
1.111987053423038052e+00 2.565324374719520567e-09 3.428837829223899829e-09
1.128583875115919177e+00 3.761664981914197960e-09 3.873644787372233218e-09
1.145180696808800302e+00 6.807645157771902690e-09 3.429823830370529715e-09
1.161777518501681428e+00 5.147256869783557628e-09 1.372660376549451365e-09
1.178374340194562553e+00 1.311868393455797648e-09 8.739803158164786245e-10
1.194971161887443678e+00 1.351026813855626037e-09 4.613865801158485180e-10
1.211567983580325025e+00 3.011735573357074360e-10 5.166026301972548505e-10
1.228164805273206150e+00 1.467918365619648534e-09 9.967691578876417355e-10
1.244761626966087276e+00 2.577537501394587845e-09 2.817238524537329272e-10
