# Wavelength (microns); index
0.1500;1.5769563019889
0.1567;1.558332300467
0.1637;1.5426840961174
0.1711;1.5292542710526
0.1787;1.5179494964362
0.1867;1.5081115574559
0.1951;1.4995251637348
0.2038;1.4920880511038
0.2130;1.4854796960592
0.2225;1.4797207845174
0.2325;1.4745829172781
0.2429;1.4700396677018
0.2538;1.4659780648307
0.2652;1.4623459065328
0.2770;1.4591213180072
0.2894;1.456207766462
0.3024;1.4535779737816
0.3159;1.4512219909251
0.3301;1.4490805546731
0.3449;1.4471494627967
0.3603;1.4454075499134
0.3765;1.4438171688366
0.3933;1.4423837841996
0.4110;1.441069695338
0.4294;1.439879794835
0.4486;1.4387964482029
0.4687;1.4378057050976
0.4897;1.4369004076011
0.5116;1.4360734718394
0.5345;1.4353149275043
0.5585;1.434616612698
0.5835;1.4339765426365
0.6096;1.4333872728604
0.6370;1.4328407174705
0.6655;1.432337242333
0.6953;1.4318696418053
0.7264;1.4314348541157
0.7590;1.4310274406659
0.7930;1.4306461586327
0.8285;1.4302873297499
0.8656;1.4299476827479
0.9044;1.4296242603626
0.9449;1.4293150780823
0.9872;1.4290174363372
1.031;1.428731345454
1.078;1.4284444979176
1.126;1.4281687273111
1.176;1.4278960189429
1.229;1.4276195295358
1.284;1.427342980891
1.342;1.4270597133362
1.402;1.4267729343289
1.465;1.4264761101715
1.530;1.4261721868997
1.599;1.4258500044701
1.670;1.4255170366762
1.745;1.4251619276679
1.823;1.424787292508
1.905;1.4243860738805
1.990;1.4239608164228
2.079;1.4235040585747
2.173;1.4230076755183
2.270;1.4224793090002
2.372;1.4219049924682
2.478;1.4212868703469
2.589;1.420615438921
2.705;1.4198865042689
2.826;1.41909564744
2.953;1.4182312779004
3.085;1.4172948753315
3.223;1.4162737223519
3.367;1.4151614192441
3.518;1.4139429589671
3.676;1.4126100807117
3.840;1.4111630303618
4.012;1.4095748636054
4.192;1.4078344234267
4.380;1.4059298004606
4.576;1.4038482863418
4.781;1.4015649145163
4.995;1.3990635147841
5.219;1.3963141564978
5.453;1.3932962797929
5.697;1.3899876862953
5.952;1.386349749038
6.219;1.3823387461962
6.498;1.3779213543805
6.789;1.3730610946774
7.093;1.3676998153351
7.410;1.3617903390395
7.742;1.3552398183844
8.089;1.3479828049395
8.452;1.3399229229025
8.830;1.3309971703475
9.226;1.3210330608636
9.639;1.309934240844
10.07;1.2975329837678
10.52;1.2836295741552
10.99;1.2679837329515
11.49;1.2499652032122
12.00;1.2299801169246
